Reproduced origin time,Reproduced latitude,Reproduced longitude,Reproduced depth (km),Ho et al. origin time,Origin time without near source,Latitude without near source,Longitude without near source,Depth without near source (km),Origin time with STAR,Latitude with STAR,Longitude with STAR,Depth with STAR (km)
2003-12-04T04:18:30.718261,-75.37400295730912,161.14920807016205,-4.824219,2003-12-04T04:18:30.010330,2003-12-04T04:18:30.075814,-75.2787208216691,161.10835240358557,-4.296875,2003-12-04T04:18:30.831431,-75.3760848736151,161.18702583999362,-4.912109
2003-12-04T07:48:20.104009,-75.39963877702058,160.88858335479247,-0.166016,2003-12-04T07:48:19.690403,,,,,,,,
2003-12-04T10:06:35.236008,-75.35565117351467,161.10019300169006,-4.824219,2003-12-04T10:06:34.240162,2003-12-04T10:06:34.060870,-75.28328831325891,161.16093891104316,-4.296875,,,,
2003-12-04T11:06:22.992707,-75.38753836258668,160.8311275780419,2.119141,2003-12-04T11:06:23.331232,,,,,,,,
2003-12-04T12:18:45.521019,-75.10861396684764,161.69650985339078,31.914062,2003-12-04T12:18:45.474680,2003-12-04T12:18:46.927723,-75.30149270481027,160.72429833466276,-4.296875,2003-12-04T12:18:45.634448,-75.27604327549058,161.10461650542763,-4.824219
2003-12-04T14:22:06.526237,-75.36477099399755,160.84024723770293,2.998047,2003-12-04T14:22:06.561117,,,,,2003-12-04T14:22:06.526417,-75.37013576715073,160.84766842126373,2.998047
2003-12-04T17:03:44.879595,-75.14939705056639,160.9752727647886,-4.648438,2003-12-04T17:03:45.377600,2003-12-04T17:03:43.093681,-78.32494250780186,151.86503101578145,-4.296875,2003-12-04T17:03:46.200888,-75.29323986452953,160.89760475820287,-4.648438
2003-12-04T19:57:40.399739,-75.38643894205158,160.89929827191577,1.943359,2003-12-04T19:57:40.284195,,,,,2003-12-04T19:57:40.323303,-75.18698814662872,163.20985352781847,22.246094
2003-12-04T20:56:01.959167,-75.13985727814743,161.4313860115,46.503906,2003-12-04T20:56:01.882198,2003-12-04T20:56:01.961159,-75.2618734445951,161.1310031867287,-2.890625,2003-12-04T20:56:02.841336,-75.38812987349458,161.2040334292931,-4.824219
2003-12-04T21:42:26.038460,-75.2956595779172,160.47431539920615,-4.824219,2003-12-04T21:42:25.909913,2003-12-04T21:42:25.982296,-75.27105195299144,160.91312142517313,-3.59375,2003-12-04T21:42:25.902579,-75.35827973529678,160.86025421961688,1.152344
2003-12-04T22:44:02.059713,-75.40308329850306,160.88755631212805,-0.605469,2003-12-04T22:44:02.104117,2003-12-04T22:44:02.453337,-75.29397463780157,160.8524497383083,-4.296875,2003-12-04T22:44:01.873439,-75.25323699705766,160.698749299973,-4.912109
2003-12-05T00:52:36.289970,-75.40576515339147,160.89128484376417,-0.429688,2003-12-05T00:52:36.219764,,,,,2003-12-05T00:52:36.466305,-75.19512250768803,163.31563506605846,14.863281
2003-12-05T01:55:02.317511,-75.39848188637562,160.87534944019893,-0.341797,2003-12-05T01:55:02.230325,2003-12-05T01:55:02.235838,-75.0721266927093,161.00620492077803,28.75,2003-12-05T01:55:02.748512,-75.39020056917379,161.08475533003076,-4.956055
2003-12-05T05:10:47.542641,-75.36893820706888,160.7938193961364,-1.835938,2003-12-05T05:10:47.241463,,,,,2003-12-05T05:10:47.413670,-75.20320703068576,163.42153380193068,12.050781
2003-12-05T05:53:07.746346,-75.27533609578198,160.45845220624884,-4.824219,2003-12-05T05:53:06.534257,2003-12-05T05:53:05.501777,-78.30336982893947,152.5158809736395,-3.59375,2003-12-05T05:53:06.052623,-75.14755834484875,161.93611651745314,47.382812
2003-12-05T07:45:57.203356,-75.31545358856657,160.43185529308744,-4.824219,2003-12-05T07:45:56.968935,2003-12-05T07:45:57.376405,-75.26727160410329,160.4476099404546,-3.59375,2003-12-05T07:45:57.221874,-75.31620648331895,160.4271048422566,-4.912109
2003-12-05T10:48:35.012142,-75.39119762231572,160.85943004768032,2.207031,2003-12-05T10:48:34.954744,2003-12-05T10:48:34.849513,-75.28943051927784,161.1233099216037,-3.59375,2003-12-05T10:48:34.973354,-75.22652767519088,161.90065785584568,42.285156
2003-12-05T11:42:22.296883,-75.397811377035,160.8744183609091,0.405273,2003-12-05T11:42:22.420877,2003-12-05T11:42:41.008079,-76.73902179149917,155.05434400868353,83.59375,2003-12-05T11:42:22.312818,-75.38976497804518,160.86325250042813,0.493164
2003-12-05T12:18:35.764116,-75.3923554253002,160.87265605375842,-1.660156,2003-12-05T12:18:35.542157,,,,,2003-12-05T12:18:35.859747,-75.38258690222573,160.86201138126984,-0.913086
2003-12-05T13:51:04.958771,-75.13000996365454,161.3717326621765,56.347656,2003-12-05T13:51:04.912250,2003-12-05T13:51:03.931295,-75.17306471420596,161.19124303596016,-2.890625,2003-12-05T13:51:04.731796,-75.11468704137454,161.3845820651955,57.578125
2003-12-05T17:35:01.451544,-75.40317541142039,160.88186920892693,-1.791992,2003-12-05T17:35:01.399568,2003-12-05T17:35:37.578300,-77.26289004050294,165.7133582903096,6.953125,2003-12-05T17:35:01.452546,-75.39043552712957,160.86418249800676,-1.748047
2003-12-05T18:31:19.941363,-75.28164459590494,160.76631965117681,-3.945312,2003-12-05T18:31:18.683084,2003-12-05T18:31:18.563357,-78.23976985786669,152.67803800815295,-3.59375,2003-12-05T18:31:19.894982,-75.22815921042354,161.47571262720885,51.074219
2003-12-05T18:43:12.348334,-75.29863220866949,161.0668069176417,-4.648438,2003-12-05T18:43:11.068752,2003-12-05T18:43:11.714539,-78.26574514184905,152.92624142462444,-3.59375,2003-12-05T18:43:12.605355,-75.22526224982157,161.82946236672274,40.175781
2003-12-05T19:35:41.083670,-75.28638656280252,161.06129830637423,-4.824219,2003-12-05T19:35:40.217172,2003-12-05T19:35:40.863466,-75.26494510389789,160.95079132054408,-4.296875,2003-12-05T19:35:41.168287,-75.29595386461268,161.06307350840606,-4.824219
2003-12-05T21:50:47.435614,-75.39790315159041,160.86873326071267,-0.166016,2003-12-05T21:50:47.305350,2003-12-05T21:50:46.888527,-78.26744873031535,153.03957602299676,-4.296875,2003-12-05T21:50:47.386944,-75.39522097230082,160.8650109419749,-0.517578
2003-12-05T22:50:56.956719,-75.30871093231391,162.1021904583144,45.449219,2003-12-05T22:50:56.765948,2003-12-05T22:50:55.600692,-75.27386984738418,161.3788437172437,-3.59375,2003-12-05T22:50:57.251515,-75.39258683901436,161.10556198647765,-4.912109
2003-12-06T00:29:48.200512,-75.29393164360711,162.15020183703265,45.800781,2003-12-06T00:29:48.137817,2003-12-06T00:29:48.631953,-75.3322618454505,161.1833606295798,-3.59375,2003-12-06T00:29:48.802247,-75.36750601918615,161.12844755560937,-4.824219
2003-12-06T00:58:26.528434,-75.24849013810935,160.60610836200235,-4.648438,2003-12-06T00:58:26.623435,2003-12-06T00:58:24.363527,-78.18758970500313,151.90897680793478,-4.296875,2003-12-06T00:58:27.415665,-75.34619316456785,160.6699107542483,-4.824219
2003-12-06T01:34:28.465929,-75.40423949230987,160.9007954535137,1.855469,2003-12-06T01:34:28.226845,,,,,2003-12-06T01:34:28.416357,-75.39753517714124,160.89147329668822,1.064453
2003-12-06T04:28:26.139820,-75.30141385983117,162.18455459566127,46.152344,2003-12-06T04:28:26.071177,2003-12-06T04:28:26.633122,-75.34296779870479,161.1984286995877,-4.296875,,,,
2003-12-06T05:34:59.268486,-75.28112332333494,162.10804066147043,45.097656,2003-12-06T05:34:59.197021,2003-12-06T05:34:59.072942,-78.22091643237057,152.8821713100561,-3.59375,2003-12-06T05:34:59.604616,-75.2600585770473,161.93787148681372,42.460938
2003-12-06T07:25:31.662170,-75.3839796246621,161.08765309339174,-4.912109,2003-12-06T07:25:31.249177,2003-12-06T07:25:30.429218,-75.25573031941674,161.1685578699394,-3.59375,2003-12-06T07:25:31.730448,-75.39105226627595,161.11504124621493,-4.912109
2003-12-06T11:13:27.850471,-75.38680768890765,160.87657584886844,-2.099609,2003-12-06T11:13:27.838037,,,,,,,,
